sy_name,sy_snum,sy_pnum
K2-288,2,1
K2-289,1,1
K2-29,2,1
K2-290,3,2
K2-291,1,1
K2-292,1,1
K2-293,1,1
K2-294,1,1
K2-295,1,1
K2-3,1,3
K2-30,1,1
K2-308,1,1
K2-31,2,1
K2-315,1,1
K2-316,1,2
K2-317,1,1
K2-318,1,1
K2-319,1,1
K2-32,2,4
K2-320,1,1
K2-321,1,1
K2-322,1,1
K2-323,1,1
K2-324,1,1
K2-325,1,1
K2-326,1,1
K2-329,1,1
K2-33,1,1
K2-330,1,1
K2-331,1,2
K2-332,1,1
K2-333,1,1
K2-334,1,1
K2-335,1,1
K2-336,1,1
K2-337,1,1
K2-338,1,1
K2-339,1,1
K2-34,1,1
K2-340,1,1
K2-341,1,1
K2-342,1,1
K2-343,1,2
K2-344,1,1
K2-345,1,1
K2-346,1,1
K2-347,1,1
K2-348,1,2
K2-349,1,1
K2-35,1,2
K2-350,1,2
K2-351,1,1
K2-352,1,3
K2-353,1,1
K2-354,1,1
K2-355,1,1
K2-356,1,1
K2-357,1,1
K2-358,1,1
K2-36,1,2
K2-365,1,1
K2-366,1,1
K2-367,1,1
K2-368,1,3
K2-369,1,1
K2-37,1,3
K2-370,1,1
K2-371,1,1
K2-372,1,1
K2-373,1,1
K2-374,1,2
K2-375,1,1
K2-376,1,1
K2-377,1,1
K2-378,1,1
K2-379,1,1
K2-38,1,2
K2-380,1,1
K2-381,1,3
K2-382,1,1
K2-383,1,1
K2-384,1,5
K2-385,1,1
K2-386,1,1
K2-387,1,1
K2-388,1,1
K2-389,1,2
K2-39,1,1
K2-390,1,1
K2-391,1,1
K2-392,1,1
K2-393,1,1
K2-394,1,1
K2-395,1,2
K2-396,1,2
K2-397,1,1
K2-398,1,2
K2-4,1,1
K2-400,1,1
K2-401,1,1
K2-402,1,1
K2-403,1,1
K2-404,1,1
K2-405,1,1
K2-406,1,1
K2-407,1,2
K2-408,1,1
K2-409,1,1
K2-411,1,1
K2-412,1,1
K2-413,1,2
K2-414,1,2
K2-415,1,1
K2-416,1,1
K2-417,1,1
K2-419,2,1
K2-42,1,1
K2-43,1,2
K2-44,1,1
K2-45,1,1
K2-46,1,1
K2-47,1,1
K2-48,1,1
K2-49,1,1
K2-5,1,2
K2-50,1,2
K2-52,1,1
K2-53,1,1
K2-54,1,1
K2-55,1,1
K2-57,1,1
K2-58,1,3
K2-59,1,2
K2-6,1,1
K2-60,1,1
K2-61,1,1
K2-62,1,2
K2-63,1,2
K2-64,1,1
K2-65,1,1
K2-66,1,1
K2-68,1,1
K2-69,1,1
K2-7,1,1
K2-70,1,1
K2-71,1,1
K2-72,1,4
K2-73,1,1
K2-74,1,1
K2-75,1,2
K2-77,1,1
K2-79,1,1
K2-8,1,2
K2-80,1,3
K2-81,1,1
K2-83,1,2
K2-84,1,2
K2-85,1,1
K2-86,1,1
K2-87,1,1
K2-88,1,1
K2-89,1,1
K2-9,1,1
K2-90,1,2
K2-91,1,1
K2-95,1,1
K2-97,1,1
K2-98,1,1
K2-99,1,1
KELT-1,1,1
KELT-10,1,1
KELT-11,1,1
KELT-12,1,1
KELT-14,1,1
KELT-15,2,1
KELT-16,2,1
KELT-17,1,1
KELT-18,2,1
KELT-19,2,1
KELT-2,2,1
KELT-20,1,1
KELT-21,1,1
KELT-23,2,1
KELT-24,2,1
KELT-3,2,1
KELT-4,3,1
KELT-6,1,2
KELT-7,1,1
KELT-8,1,1
KELT-9,2,1
KIC 10001893,1,3
KIC 10068024,1,1
KIC 10525077,1,1
KIC 3526061,1,1
KIC 3558849,1,1
KIC 5437945,1,2
KIC 5479689,1,1
KIC 7917485,1,1
KIC 8121913,1,1
KIC 9663113,1,2
KMT-2016-BLG-0212L,1,1
KMT-2016-BLG-1105L,1,1
KMT-2016-BLG-1107L,1,1
KMT-2016-BLG-1397L,1,1
KMT-2016-BLG-1820L,1,1
KMT-2016-BLG-1836L,1,1
KMT-2016-BLG-2142L,1,1
KMT-2016-BLG-2364L,1,1
KMT-2016-BLG-2397L,1,1
KMT-2016-BLG-2605L,1,1
KMT-2017-BLG-0165L,1,1
KMT-2017-BLG-0428L,1,1
KMT-2017-BLG-0673L,1,1
KMT-2017-BLG-1003L,1,1
KMT-2017-BLG-1038L,1,1
KMT-2017-BLG-1146L,1,1
KMT-2017-BLG-1194L,1,1
KMT-2017-BLG-2509L,1,1
KMT-2018-BLG-0029L,1,1
KMT-2018-BLG-0030L,1,1
KMT-2018-BLG-0087L,1,1
KMT-2018-BLG-0247L,1,1
KMT-2018-BLG-0748L,1,1
KMT-2018-BLG-0885L,1,1
KMT-2018-BLG-1025L,1,1
KMT-2018-BLG-1292L,1,1
KMT-2018-BLG-1743L,1,1
KMT-2018-BLG-1976L,1,1
KMT-2018-BLG-1988L,1,1
KMT-2018-BLG-1990L,1,1
KMT-2018-BLG-1996L,1,1
KMT-2018-BLG-2602L,1,1
KMT-2019-BLG-0253L,1,1
KMT-2019-BLG-0297L,1,1
KMT-2019-BLG-0298L,1,1
KMT-2019-BLG-0335L,1,1
KMT-2019-BLG-0371L,1,1
KMT-2019-BLG-0414L,1,1
KMT-2019-BLG-0842L,1,1
KMT-2019-BLG-0953L,1,1
KMT-2019-BLG-1042L,1,1
KMT-2019-BLG-1216L,1,1
KMT-2019-BLG-1339L,1,1
KMT-2019-BLG-1367L,1,1
KMT-2019-BLG-1552L,1,1
KMT-2019-BLG-1715L,1,1
KMT-2019-BLG-1806L,1,1
KMT-2019-BLG-1953L,1,1
KMT-2019-BLG-2783L,1,1
KMT-2019-BLG-2974L,1,1
KMT-2020-BLG-0414L,1,2
KMT-2021-BLG-0119L,1,1
KMT-2021-BLG-0171L,1,1
KMT-2021-BLG-0192L,1,1
KMT-2021-BLG-0240L,1,1
KMT-2021-BLG-0320L,1,1
KMT-2021-BLG-0322L,2,1
KMT-2021-BLG-0712L,1,1
KMT-2021-BLG-0748L,1,1
KMT-2021-BLG-0909L,1,1
KMT-2021-BLG-0912L,1,1
KMT-2021-BLG-1077L,1,2
KMT-2021-BLG-1105L,1,1
KMT-2021-BLG-1150L,1,1
KMT-2021-BLG-1253L,1,1
KMT-2021-BLG-1303L,1,1
KMT-2021-BLG-1372L,1,1
KMT-2021-BLG-1391L,1,1
KMT-2021-BLG-1547L,1,1
KMT-2021-BLG-1554L,1,1
KMT-2021-BLG-1689L,1,1
KMT-2021-BLG-1770L,1,1
KMT-2021-BLG-1898L,1,1
KMT-2021-BLG-2010L,1,1
KMT-2021-BLG-2294L,1,1
KMT-2021-BLG-2478L,1,1
KMT-2022-BLG-0371L,1,1
KMT-2022-BLG-0440L,1,1
KMT-2022-BLG-1013L,1,1
KMT-2023-BLG-0416L,1,1
KMT-2023-BLG-0469L,1,1
KMT-2023-BLG-0735L,1,1
KMT-2023-BLG-1431L,1,1
KMT-2023-BLG-1454L,1,1
KMT-2023-BLG-1642L,1,1
KOI-12,1,2
KOI-1257,2,1
KOI-13,3,1
KOI-142,1,3
KOI-1599,1,2
KOI-1783,1,2
KOI-217,1,1
KOI-2513,1,1
KOI-3503,1,2
KOI-351,1,8
KOI-3680,1,1
KOI-4777,1,1
KOI-55,1,2
KOI-7368,1,1
KOI-7892,1,3
KOI-7913,2,1
KOI-94,2,4
KOI-984,1,2
KPS-1,1,1
Kapteyn,1,1
Kepler-10,1,3
Kepler-100,1,4
Kepler-1000,1,1
Kepler-1001,1,2
Kepler-1002,1,1
Kepler-1003,1,1
Kepler-1004,1,1
Kepler-1005,1,1
Kepler-1006,1,1
Kepler-1007,1,1
Kepler-1008,2,1
Kepler-1009,1,1
Kepler-101,1,2
Kepler-1010,1,1
Kepler-1011,1,1
Kepler-1012,1,1
Kepler-1013,1,1
Kepler-1014,1,1
Kepler-1015,1,1
Kepler-1016,1,2
Kepler-1017,1,1
Kepler-1018,1,1
Kepler-1019,1,1
Kepler-102,1,5
Kepler-1020,1,1
Kepler-1021,1,1
Kepler-1022,1,1
Kepler-1023,1,1
Kepler-1024,1,1
Kepler-1025,1,1
Kepler-1026,1,1
Kepler-1027,2,1
Kepler-1028,1,1
Kepler-1029,1,1
Kepler-103,1,2
Kepler-1030,1,1
Kepler-1031,1,1
Kepler-1032,1,1
Kepler-1033,1,1
Kepler-1034,1,1
Kepler-1035,1,1
Kepler-1036,1,1
Kepler-1037,1,1
Kepler-1038,1,2
Kepler-1039,1,1
Kepler-104,2,3
Kepler-1040,1,1
Kepler-1041,1,1
Kepler-1042,1,1
Kepler-1043,1,1
Kepler-1044,1,1
Kepler-1045,1,1
Kepler-1046,1,1
Kepler-1047,1,2
Kepler-1048,1,1
Kepler-1049,1,1
Kepler-105,1,2
Kepler-1050,1,2
Kepler-1051,1,1
Kepler-1052,1,2
Kepler-1053,1,1
Kepler-1054,1,1
Kepler-1055,1,1
Kepler-1056,1,1
Kepler-1057,1,1
Kepler-1058,1,1
Kepler-1059,1,1
Kepler-106,1,4
Kepler-1060,1,1
Kepler-1061,1,1
Kepler-1062,1,1
Kepler-1063,2,1
Kepler-1064,1,1
Kepler-1065,1,2
Kepler-1066,1,1
Kepler-1067,1,2
Kepler-1068,1,1
Kepler-1069,1,1
Kepler-107,1,4
Kepler-1070,1,1
Kepler-1071,1,1
Kepler-1072,1,1
Kepler-1073,1,3
Kepler-1074,1,1
Kepler-1075,1,1
Kepler-1076,1,1
Kepler-1077,1,1
Kepler-1078,1,1
Kepler-1079,1,1
Kepler-108,2,2
Kepler-1080,1,1
Kepler-1081,1,1
Kepler-1082,1,1
Kepler-1083,1,1
Kepler-1084,1,1
Kepler-1085,1,2
Kepler-1086,2,2
Kepler-1087,1,1
Kepler-1088,1,1
Kepler-1089,1,1
Kepler-109,1,2
Kepler-1090,1,2
Kepler-1091,1,1
Kepler-1092,1,1
Kepler-1093,1,2
Kepler-1094,1,1
Kepler-1095,1,1
Kepler-1096,1,1
Kepler-1097,1,1
Kepler-1098,1,1
Kepler-1099,1,1
Kepler-11,1,6
Kepler-110,1,2
Kepler-1100,1,1
Kepler-1101,1,1
Kepler-1102,1,1
Kepler-1103,1,1
Kepler-1104,1,1
Kepler-1105,1,1
Kepler-1106,1,1
Kepler-1107,1,1
Kepler-1108,1,1
Kepler-1109,1,1
Kepler-111,1,2
Kepler-1110,1,1
Kepler-1111,1,1
Kepler-1112,1,1
Kepler-1113,1,1
Kepler-1114,1,1
Kepler-1115,1,1
Kepler-1116,1,1
Kepler-1117,1,1
Kepler-1118,1,1
Kepler-1119,1,1
Kepler-112,1,2
Kepler-1120,1,1
Kepler-1121,1,1
Kepler-1122,1,1
Kepler-1123,1,1
Kepler-1124,1,1
Kepler-1125,1,1
Kepler-1126,1,2
Kepler-1127,1,1
Kepler-1128,1,1
Kepler-1129,1,2
Kepler-113,1,2
Kepler-1130,2,3
Kepler-1131,1,1
Kepler-1132,1,1
Kepler-1133,1,1
Kepler-1134,1,1
Kepler-1135,1,1
Kepler-1136,1,1
Kepler-1137,1,1
Kepler-1138,1,1
Kepler-1139,1,1
Kepler-114,1,3
Kepler-1140,1,1
Kepler-1141,1,1
Kepler-1142,1,1
Kepler-1143,1,2
Kepler-1144,1,1
Kepler-1145,1,1
Kepler-1146,1,1
Kepler-1147,1,1
Kepler-1148,1,1
Kepler-1149,1,1
Kepler-115,1,2
Kepler-1150,2,1
Kepler-1151,1,1
Kepler-1152,1,1
Kepler-1153,1,1
Kepler-1154,1,2
Kepler-1155,1,1
Kepler-1156,1,1
Kepler-1157,1,1
Kepler-1158,1,1
Kepler-1159,1,1
Kepler-116,1,2
Kepler-1160,1,1
Kepler-1161,1,1
Kepler-1162,1,2
Kepler-1163,1,1
Kepler-1164,1,1
Kepler-1165,1,2
Kepler-1166,1,1
Kepler-1167,1,1
Kepler-1168,1,1
Kepler-1169,1,1
Kepler-117,1,2
Kepler-1170,1,1
Kepler-1171,1,1
Kepler-1172,1,1
Kepler-1173,1,1
Kepler-1174,1,1
Kepler-1175,1,1
Kepler-1176,1,1
Kepler-1177,1,1
Kepler-1178,1,1
Kepler-1179,1,1
Kepler-118,1,2
Kepler-1180,1,1
Kepler-1181,1,2
Kepler-1182,1,1
Kepler-1183,1,1
Kepler-1184,1,1
Kepler-1185,1,1
Kepler-1186,1,1
Kepler-1187,1,1
Kepler-1188,1,1
Kepler-1189,1,1
Kepler-119,1,2
Kepler-1190,1,1
Kepler-1191,1,1
Kepler-1192,1,1
Kepler-1193,1,1
Kepler-1194,1,1
Kepler-1195,1,1
Kepler-1196,1,1
Kepler-1197,1,1
Kepler-1198,1,1
Kepler-1199,1,1
Kepler-12,1,1
Kepler-120,1,2
Kepler-1200,1,1
Kepler-1201,1,1
Kepler-1202,1,1
Kepler-1203,1,1
Kepler-1204,1,1
Kepler-1205,1,1
Kepler-1206,1,1
Kepler-1207,1,1
Kepler-1208,1,1
Kepler-1209,1,1
Kepler-121,1,2
Kepler-1210,1,1
Kepler-1211,1,1
Kepler-1212,1,1
Kepler-1213,1,1
Kepler-1214,1,1
Kepler-1215,1,1
Kepler-1216,1,1
Kepler-1217,1,1
Kepler-1218,1,1
Kepler-1219,1,1
Kepler-122,1,5
Kepler-1220,1,1
Kepler-1221,1,1
Kepler-1222,1,1
Kepler-1223,1,1
Kepler-1224,1,1
Kepler-1225,1,1
Kepler-1226,1,1
Kepler-1227,1,1
Kepler-1228,1,1
Kepler-1229,1,1
Kepler-123,1,2
Kepler-1230,1,1
Kepler-1231,1,1
Kepler-1232,1,1
Kepler-1233,1,1
Kepler-1234,1,1
Kepler-1235,1,1
Kepler-1236,1,1
Kepler-1237,1,1
Kepler-1238,1,1
Kepler-1239,1,1
Kepler-124,1,3
Kepler-1240,1,1
Kepler-1241,1,1
Kepler-1242,1,1
Kepler-1243,1,1
Kepler-1244,1,1
Kepler-1245,1,2
Kepler-1246,1,1
Kepler-1247,1,1
Kepler-1248,1,1
Kepler-1249,1,1
Kepler-125,1,2
Kepler-1250,1,1
Kepler-1251,1,1
Kepler-1252,1,1
Kepler-1253,1,1
Kepler-1254,1,3
Kepler-1255,1,1
Kepler-1256,1,1
Kepler-1257,1,1
Kepler-1258,1,1
Kepler-1259,1,1
Kepler-126,1,3
Kepler-1260,1,1
Kepler-1261,1,1
Kepler-1262,1,1
Kepler-1263,1,1
Kepler-1264,1,1
Kepler-1265,1,1
Kepler-1266,1,2
Kepler-1267,1,1
Kepler-1268,1,1
Kepler-1269,1,1
Kepler-127,1,3
Kepler-1270,1,1
Kepler-1271,1,1
Kepler-1272,1,1
Kepler-1273,1,1
Kepler-1274,1,1
Kepler-1275,1,1
Kepler-1276,1,1
Kepler-1277,1,1
Kepler-1278,1,1
Kepler-1279,1,1
Kepler-128,1,2
Kepler-1280,1,1
Kepler-1281,1,1
Kepler-1282,1,1
Kepler-1283,1,1
Kepler-1284,1,1
Kepler-1285,1,1
Kepler-1286,1,1
Kepler-1287,1,1
Kepler-1288,1,1
Kepler-1289,1,1
Kepler-129,1,3
Kepler-1290,1,1
Kepler-1291,1,1
Kepler-1292,1,1
Kepler-1293,1,1
Kepler-1294,1,1
Kepler-1295,1,1
Kepler-1296,1,1
Kepler-1297,1,1
Kepler-1298,1,1
Kepler-1299,1,1
Kepler-130,2,3
Kepler-1300,1,1
Kepler-1301,1,1
Kepler-1302,1,1
Kepler-1303,1,1
Kepler-1304,1,1
Kepler-1305,1,1
Kepler-1306,1,1
Kepler-1307,1,1
Kepler-1308,1,1
Kepler-1309,1,1
Kepler-131,1,2
Kepler-1310,1,1
Kepler-1311,1,3
Kepler-1312,1,2
Kepler-1313,1,1
Kepler-1314,1,1
Kepler-1315,1,2
Kepler-1316,1,1
Kepler-1317,1,1
Kepler-1318,1,1
Kepler-1319,2,1
Kepler-132,2,4
Kepler-1320,1,1
Kepler-1321,1,3
Kepler-1322,1,2
Kepler-1323,1,1
Kepler-1324,1,1
Kepler-1325,1,1
Kepler-1326,1,1
Kepler-1327,1,1
Kepler-1328,1,1
Kepler-1329,1,1
Kepler-133,1,2
Kepler-1330,1,1
Kepler-1331,1,1
Kepler-1332,1,1
Kepler-1333,1,1
Kepler-1334,1,1
Kepler-1335,1,1
Kepler-1336,1,2
Kepler-1337,1,1
Kepler-1338,1,1
Kepler-1339,1,1
Kepler-134,1,2
Kepler-1340,1,1
Kepler-1341,2,1
Kepler-1342,1,1
Kepler-1343,1,1
Kepler-1344,1,1
Kepler-1345,1,1
Kepler-1346,1,1
Kepler-1347,1,1
Kepler-1348,1,1
Kepler-1349,1,1
Kepler-135,1,2
Kepler-1350,1,2
Kepler-1351,1,1
Kepler-1352,1,1
Kepler-1353,1,1
Kepler-1354,1,1
Kepler-1355,1,1
Kepler-1356,1,1
Kepler-1357,1,1
Kepler-1358,1,1
Kepler-1359,1,1
Kepler-136,2,2
Kepler-1360,1,1
Kepler-1361,1,1
Kepler-1362,1,1
Kepler-1363,1,1
Kepler-1364,1,1
Kepler-1365,1,2
Kepler-1366,1,1
Kepler-1367,1,1
Kepler-1368,1,1
Kepler-1369,1,1
Kepler-137,1,2
Kepler-1370,1,2
Kepler-1371,1,2
Kepler-1372,1,1
Kepler-1373,1,1
Kepler-1374,1,1
Kepler-1375,1,1
Kepler-1376,1,1
Kepler-1377,1,1
Kepler-1378,1,1
Kepler-1379,1,1
Kepler-138,1,4
Kepler-1380,1,1
Kepler-1381,1,1
Kepler-1382,1,1
Kepler-1383,1,1
Kepler-1384,1,1
Kepler-1385,1,1
Kepler-1386,1,1
Kepler-1387,1,1
Kepler-1388,1,4
Kepler-1389,1,1
Kepler-139,1,4
Kepler-1390,1,1
Kepler-1391,1,1
Kepler-1392,1,1
Kepler-1393,1,1
Kepler-1394,1,1
Kepler-1395,1,1
Kepler-1396,1,1
Kepler-1397,1,1
Kepler-1398,1,2
Kepler-1399,1,1
Kepler-14,2,1
Kepler-140,1,2
Kepler-1400,1,1
Kepler-1401,1,1
Kepler-1402,1,1
Kepler-1403,1,1
Kepler-1404,1,1
Kepler-1405,1,1
Kepler-1406,1,1
Kepler-1407,1,1
Kepler-1408,1,1
Kepler-1409,1,1
Kepler-141,1,2
Kepler-1410,1,1
Kepler-1411,1,1
Kepler-1412,1,1
Kepler-1413,1,1
Kepler-1414,1,1
Kepler-1415,1,1
Kepler-1416,1,1
Kepler-1417,1,1
Kepler-1418,1,1
Kepler-1419,1,1
Kepler-142,1,3
Kepler-1420,1,1
Kepler-1421,1,1
Kepler-1422,1,1
Kepler-1423,1,1
Kepler-1424,1,1
Kepler-1425,1,1
Kepler-1426,1,1
Kepler-1427,1,1
Kepler-1428,1,1
Kepler-1429,1,1
Kepler-143,1,2
Kepler-1430,1,1
Kepler-1431,1,1
Kepler-1432,1,1
Kepler-1433,1,1
Kepler-1434,1,1
Kepler-1435,1,1
Kepler-1436,1,1
Kepler-1437,1,1
Kepler-1438,1,1
Kepler-1439,1,1
Kepler-144,1,2
Kepler-1440,1,1
Kepler-1441,1,1
Kepler-1442,1,1
Kepler-1443,1,1
Kepler-1444,1,1
Kepler-1445,1,1
Kepler-1446,1,1
Kepler-1447,1,1
Kepler-1448,1,1
Kepler-1449,1,1
Kepler-145,1,2
Kepler-1450,1,1
Kepler-1451,1,1
Kepler-1452,1,1
Kepler-1453,1,1
Kepler-1454,1,1
Kepler-1455,1,1
Kepler-1456,1,1
Kepler-1457,1,1
Kepler-1458,1,1
Kepler-1459,1,1
Kepler-146,1,2
Kepler-1460,1,1
Kepler-1461,1,1
Kepler-1462,1,1
Kepler-1463,1,1
Kepler-1464,1,2
Kepler-1465,1,1
Kepler-1466,1,1
Kepler-1467,1,1
Kepler-1468,1,3
Kepler-1469,1,1
Kepler-147,1,2
Kepler-1470,1,1
Kepler-1471,1,2
Kepler-1472,1,1
Kepler-1473,1,1
Kepler-1474,1,1
Kepler-1475,1,1
Kepler-1476,1,1
Kepler-1477,1,1
Kepler-1478,1,1
Kepler-1479,1,1
Kepler-148,1,3
Kepler-1480,2,1
Kepler-1481,1,1
Kepler-1482,1,1
Kepler-1483,1,1
Kepler-1484,1,1
Kepler-1485,1,1
Kepler-1486,1,1
Kepler-1487,1,2
Kepler-1488,1,2
Kepler-1489,1,1
Kepler-149,1,3
Kepler-1490,1,1
Kepler-1491,1,2
Kepler-1492,1,1
Kepler-1493,1,1
Kepler-1494,1,1
Kepler-1495,1,1
Kepler-1496,1,1
Kepler-1497,1,1
Kepler-1498,1,1
Kepler-1499,1,1
Kepler-15,1,1
Kepler-150,1,5
Kepler-1500,1,1
Kepler-1501,1,1
Kepler-1502,1,1
Kepler-1503,1,1
Kepler-1504,1,1
Kepler-1505,1,1
Kepler-1506,1,1
Kepler-1507,1,1
Kepler-1508,1,1
Kepler-1509,1,1
Kepler-151,1,2
Kepler-1510,1,1
Kepler-1511,1,1
Kepler-1512,1,1
Kepler-1513,1,2
Kepler-1514,1,2
Kepler-1515,1,1
Kepler-1516,1,1
Kepler-1517,1,1
Kepler-1518,1,2
Kepler-1519,1,1
Kepler-152,1,2
Kepler-1520,1,1
Kepler-1521,1,1
Kepler-1522,1,1
Kepler-1523,1,1
Kepler-1524,1,1
Kepler-1525,1,1
Kepler-1526,1,1
Kepler-1527,1,1
Kepler-1528,1,1
Kepler-1529,1,1
Kepler-153,1,2
Kepler-1530,1,3
Kepler-1531,1,1
Kepler-1532,1,1
Kepler-1533,1,1
Kepler-1534,1,1
Kepler-1535,1,1
Kepler-1536,1,1
Kepler-1537,1,1
Kepler-1538,1,1
Kepler-1539,1,1
Kepler-154,1,5
Kepler-1540,2,1
Kepler-1541,1,1
Kepler-1542,1,4
Kepler-1543,1,1
Kepler-1544,1,1
Kepler-1545,1,1
Kepler-1546,1,1
Kepler-1547,1,1
Kepler-1548,1,1
Kepler-1549,1,1
Kepler-155,1,2
Kepler-1550,1,1
Kepler-1551,1,1
Kepler-1552,1,1
Kepler-1553,1,1
Kepler-1554,1,1
Kepler-1555,1,1
Kepler-1556,1,1
Kepler-1557,1,1
Kepler-1558,1,1
Kepler-1559,1,1
Kepler-156,1,2
Kepler-1560,1,1
Kepler-1561,1,1
Kepler-1562,1,1
Kepler-1563,1,1
Kepler-1564,1,1
Kepler-1565,1,1
Kepler-1566,1,1
Kepler-1567,1,1
Kepler-1568,1,1
Kepler-1569,1,1
Kepler-157,1,3
Kepler-1570,1,1
Kepler-1571,1,1
Kepler-1572,1,1
Kepler-1573,1,1
Kepler-1574,1,1
Kepler-1575,1,1
Kepler-1576,1,1
Kepler-1577,1,1
Kepler-1578,1,1
Kepler-1579,1,1
Kepler-158,1,2
Kepler-1580,1,1
Kepler-1581,1,1
Kepler-1582,1,1
Kepler-1583,1,1
Kepler-1584,1,1
Kepler-1585,1,1
Kepler-1586,1,1
Kepler-1587,1,1
Kepler-1588,1,1
Kepler-1589,1,1
Kepler-159,1,2
Kepler-1590,1,1
Kepler-1591,1,1
Kepler-1592,1,1
Kepler-1593,1,1
Kepler-1594,1,1
Kepler-1595,1,1
Kepler-1596,1,1
Kepler-1597,1,1
Kepler-1598,1,1
Kepler-1599,1,1
Kepler-16,2,1
Kepler-160,1,3
Kepler-1600,1,2
Kepler-1601,1,1
Kepler-1602,1,1
Kepler-1603,1,1
Kepler-1604,1,1
Kepler-1605,1,1
Kepler-1606,1,1
Kepler-1607,1,1
Kepler-1608,1,1
Kepler-1609,1,1
Kepler-161,1,2
Kepler-1610,1,2
Kepler-1611,1,1
Kepler-1612,1,1
Kepler-1613,1,1
Kepler-1614,1,1
Kepler-1615,1,1
Kepler-1616,1,1
Kepler-1617,1,1
Kepler-1618,1,1
Kepler-1619,1,1
Kepler-162,1,2
Kepler-1620,1,1
Kepler-1621,1,1
Kepler-1622,1,1
Kepler-1623,1,1
Kepler-1624,1,1
Kepler-1625,1,1
Kepler-1626,1,1
Kepler-1627,1,1
Kepler-1628,1,1
Kepler-1629,1,1
Kepler-163,1,2
Kepler-1630,1,1
Kepler-1631,1,1
Kepler-1632,1,1
Kepler-1633,1,1
Kepler-1634,1,1
Kepler-1635,1,1
